"RowNumNumRep","Var","stage","days","m","intercept","n","Treat"
"13.3.R5","Pinot gris","50% flowering",49,0.0600000000000003,46,2,"Chamber 4"
"18.5.R1","Durif1","50% flowering",47.5812205913337,0.198398763958143,37.6612823934265,7,"Chamber 3"
"19.9.R3","Syrah","50% flowering",46.889043932301,0.0834983795462729,42.7141249549874,5,"Chamber 4"
"20.2.R4","Valdepenas","50% flowering",43.1262823934057,0.156792978710787,35.2866334578663,8,"Chamber 5"
"38.7.R3","Verdelho","50% flowering",43.4810611459521,0.15486031927024,35.7380451824401,8,"Chamber 4"
"38.7.R4","Verdelho","50% flowering",39.1745046072298,0.130913125211871,32.6288483466362,8,"Chamber 3"
"38.7.R5","Verdelho","50% flowering",42.1347639484978,0.0981115879828328,37.2291845493562,7,"Chamber 2"
"14.1.R3","Cabernet Sauvignon","50% flowering",48.2798353909465,0.106310013717421,42.9643347050754,4,"Chamber 1"
"18.5.R4","Durif1","50% flowering",47.2307692307692,0.0538461538461537,44.5384615384615,3,"Chamber 3"
"18.5.R5","Durif1","50% flowering",46.2543654244999,0.0782765772395799,42.3405365625209,5,"Chamber 3"
"13.3.R4","Pinot gris","50% flowering",43.9763779527559,0.12469577666428,37.7415891195419,6,"Chamber 2"
"16.1.R7","Sauvignon blanc","50% flowering",49.740412979351,0.170845624385447,41.1981317600787,5,"Chamber 2"
"20.2.R1","Valdepenas","50% flowering",44.8257302742026,0.0841857862339115,40.616440962507,6,"Chamber 5"
"20.2.R5","Valdepenas","50% flowering",41.6763341067286,0.0867749419953594,37.3375870069606,6,"Chamber 4"
"35.3.R6","Tempranillo","50% flowering",43.4829545454545,0.0738636363636363,39.7897727272727,5,"Chamber 3"
"22.9.R7","Durif2","50% flowering",46.7225956921388,0.0633374491242512,43.5557232359263,4,"Chamber 5"
"20.2.R6","Valdepenas","50% flowering",44.9056603773585,0.0688679245283019,41.4622641509434,4,"Chamber 4"
