"RowNumNumRep","Treat","Var","max.pf_mean"
"13.3.R4","Chamber 2","Pinot gris",50
"13.3.R5","Chamber 4","Pinot gris",50
"14.1.R3","Chamber 1","Cabernet Sauvignon",60
"16.1.R1","Chamber 5","Sauvignon blanc",0
"16.1.R3","Chamber 1","Sauvignon blanc",15
"16.1.R4","Chamber 4","Sauvignon blanc",0
"16.1.R7","Chamber 2","Sauvignon blanc",25
"18.5.R1","Chamber 3","Durif1",57.5
"18.5.R4","Chamber 3","Durif1",85
"18.5.R5","Chamber 3","Durif1",45
"18.5.R7","Chamber 2","Durif1",16
"18.5.R8","Chamber 1","Durif1",30
"19.9.R3","Chamber 4","Syrah",37.5
"20.2.R1","Chamber 5","Valdepenas",100
"20.2.R4","Chamber 5","Valdepenas",50
"20.2.R5","Chamber 4","Valdepenas",100
"20.2.R6","Chamber 4","Valdepenas",100
"20.5.R3","Chamber 3","Gewurtztraminer",15
"22.9.R7","Chamber 5","Durif2",90
"24.9.R7","Chamber 4","Dolcetto",0
"35.3.R6","Chamber 3","Tempranillo",95
"38.7.R2","Chamber 5","Verdelho",7.5
"38.7.R3","Chamber 4","Verdelho",82.5
"38.7.R4","Chamber 3","Verdelho",100
"38.7.R5","Chamber 2","Verdelho",95
"38.7.R6","Chamber 1","Verdelho",95
